Species,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aalscholver,100,1111,3100,1189,678,1744,2578,6389,4778,2867,6322,4744,2833,3189,2133,2044,8289,5178,4233,3767,3256,1856,3422,,,
Alk of Zeekoet,100,167,244,125,151,86,260,257,171,538,343,296,468,1503,1628,533,596,250,163,356,1171,2908,1353,,,
Drieteenmeeuw,100,208,315,1256,296,208,513,515,808,785,227,1475,1648,2538,4596,16265,844,190,3517,2148,11196,2263,1800,,,
Drieteenstrandloper,100,111,97,130,146,208,211,192,222,251,270,268,376,378,476,392,373,500,427,389,430,554,538,,,
Dwergmeeuw,100,200,234,348,45,76,53,148,93,226,213,249,268,324,328,551,186,346,490,244,260,1615,196,,,
Dwergstern,100,150,113,73,59,58,37,100,71,62,41,52,47,55,44,50,42,39,86,72,43,37,101,,,
Fuut,100,128,106,52,70,36,36,26,22,32,33,70,28,52,101,76,50,115,95,175,70,114,77,,,
Grote mantelmeeuw,100,57,57,70,215,260,87,179,24,80,109,38,61,61,114,22,19,36,55,80,82,31,15,,,
Grote stern,100,114,142,128,184,204,283,197,175,234,187,189,303,201,373,244,247,188,265,221,254,142,67,,,
Grote zee-eend,100,464,136,1273,518,118,345,1009,391,909,1009,1336,627,236,345,236,955,155,145,491,182,1191,473,,,
IJseend,100,67,300,33,85,361,64,127,294,303,145,85,142,182,61,24,136,27,36,48,36,103,315,,,
Jan-van-gent,100,97,104,290,85,120,84,70,79,69,112,49,56,83,67,41,56,35,43,48,78,33,71,,,
Kleine jager,100,127,113,99,69,47,83,126,83,123,51,38,82,54,113,74,55,81,58,49,132,48,55,,,
Kleine mantelmeeuw,100,182,140,249,613,269,284,627,220,365,1085,345,1080,531,387,369,253,176,822,671,455,496,693,,,
Kokmeeuw,100,46,264,63,174,552,386,191,16,29,16,4,6,33,19,47,5,3,5,13,20,23,9,,,
Middelste jager,100,52,92,61,60,47,71,73,131,81,42,32,43,64,479,54,1044,59,89,133,794,46,140,,,
Paarse strandloper,100,74,59,71,78,54,82,44,82,97,59,49,99,85,76,60,62,56,57,,,,,,,
Roodkeelduiker of parelduiker,100,114,144,94,121,105,103,78,108,103,191,125,111,534,515,255,109,123,101,110,113,664,130,,,
Steenloper (wint. Eur.),100,78,91,95,85,60,45,55,56,52,60,79,63,70,79,102,96,85,92,76,83,64,73,,,
Stormmeeuw,100,111,220,46,86,284,436,106,99,29,20,19,113,91,111,29,52,51,39,49,53,208,69,,,
Visdief of Noordse stern,100,87,57,116,127,103,225,103,83,57,106,87,66,79,155,82,117,56,81,43,37,44,53,,,
Zilvermeeuw,100,48,389,254,501,528,1759,150,17,65,819,31,242,113,101,6,12,28,46,73,16,29,13,,,
Zwarte zee-eend,100,123,137,52,88,81,46,78,103,32,65,34,59,85,33,8,9,35,6,12,32,58,30,,,
