Species,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Anthozoa-bloemdieren-zeeanemonen,100,260,140,521,427,263,33,131,29,81,12,828,57,2,26,0,26,106,27,53,38,27,27,27,27,
Capitella-borstelwormen,100,2367,655,2191,1443,1023,8135,1312,1028,1081,391,483,943,437,526,1120,156,2343,416,7392,2362,755,546,396,286,
Chaetozone-borstelwormen,100,86,18,140,30,119,30,74,13,52,104,78,39,39,104,26,138,69,83,97,90,83,107,139,180,
Eteone-borstelwormen,100,900,100,2388,2221,2220,2862,1557,55,8585,1391,1390,1393,820,0,5405,150,2804,1448,4322,2227,1153,1510,1979,2594,
Lagis-borstelwormen-goudkammetje,100,105,117,42,50,80,63,66,39,35,23,30,25,16,23,12,10,5,32,27,11,4,5,11,13,
Lanice-borstelwormen-schelpkokerworm,100,121,113,91,90,79,68,86,75,82,74,73,81,51,66,63,80,55,97,69,49,73,81,110,62,
Magelona-borstelwormen-zandkokerworm,100,127,357,3922,2407,252,272,356,311,303,229,107,60,49,155,139,30,225,240,393,239,148,145,143,144,
Nephtys-borstelwormen-gewone zandzager,100,87,129,131,171,56,57,74,65,59,80,72,86,71,50,76,51,97,84,55,53,52,54,56,58,
Nereis-borstelwormen-veelkleurige duizendpoot,100,506,119,356,49,66,33,99,64,29,43,101,116,202,43,159,92,123,46,61,53,46,40,35,31,
Scolelepis-borstelwormen,100,14,575,888,572,104,310,818,128,349,724,182,319,273,71,141,96,192,64,96,207,447,186,77,32,
Scoloplos-borstelwormen-wapenworm,100,309,81,278,99,35,590,1127,579,675,333,394,179,92,202,25,36,25,2,376,336,304,184,111,67,
Spio-borstelwormen-oranje zandkokerworm,100,109,143,314,633,259,980,116,218,146,361,97,146,65,385,24,101,141,129,145,270,501,248,122,61,
Siophanes-borstelwormen-noordelijke zandkokerworm,100,201,159,1897,3160,412,163,147,76,460,42,92,350,220,66,51,104,51,72,149,43,12,26,55,115,
Bathyporeia-kreeftachtigen-vlokreeftjes,100,166,60,70,211,74,312,302,588,49,166,62,49,120,272,154,94,193,130,223,272,331,266,213,171,
Cancer-kreeftachtigen-Noordzeekrab,100,72,86,56,43,32,21,32,36,54,55,51,53,56,49,49,59,49,56,51,54,58,50,57,46,
Carcinus-kreeftachtigen-strandkrab,100,98,100,93,81,73,69,77,80,82,77,91,99,92,75,95,91,75,90,91,83,96,82,108,89,
Corystes-kreeftachtigen-helmkrab-Chineesje,100,51,58,52,52,44,34,68,140,125,100,157,274,373,343,461,271,314,155,186,617,,,,,
Diogenes-kreeftachtigen-kleine heremietkreeft,100,499,910,898,1133,419,132,252,702,531,488,3773,3703,2530,2748,4093,3168,3442,3717,2718,2943,2577,2158,3217,2727,
