Year,Anthozoa-bloemdieren-zeeanemonen,Capitella-borstelwormen,Chaetozone-borstelwormen,Eteone-borstelwormen,Lagis-borstelwormen-goudkammetje,Lanice-borstelwormen-schelpkokerworm,Magelona-borstelwormen-zandkokerworm,Nephtys-borstelwormen-gewone zandzager,Nereis-borstelwormen-veelkleurige duizendpoot,Scolelepis-borstelwormen,Scoloplos-borstelwormen-wapenworm,Spio-borstelwormen-oranje zandkokerworm,Siophanes-borstelwormen-noordelijke zandkokerworm,Bathyporeia-kreeftachtigen-vlokreeftjes,Cancer-kreeftachtigen-Noordzeekrab,Carcinus-kreeftachtigen-strandkrab,Corystes-kreeftachtigen-helmkrab-Chineesje,Diogenes-kreeftachtigen-kleine heremietkreeft,Liocarcinus-kreeftachtigen-gewone blauwpoot-gewimperde zwemkrab,Pagurus-kreeftachtigen-gewone heremietkreeft,Pontocrates-kreeftachtigen-vlokreeftjes,Portumnus-kreeftachtigen-breedpootkrab,Thia-kreeftachtigen-nagelkrab,Urothoe-kreeftachtigen-vlokreeftjes,Nemertea-snoerwormen,Abra-tweekleppigen-witte-prismatische dunschaal,Barnea-tweekleppigen-witte boormossel,Cerastoderma-tweekleppigen-kokkel,Chamelea-tweekleppigen-venusschelp,Donax-tweekleppigen-gewoon zaagje,Ensis-tweekleppigen-brede kleine zwaardschede,Ensis-tweekleppigen-grote zwaardschede,Ensis-tweekleppigen-klein tafelmesheft,Kurtiella-tweekleppigen-tweetandschelp,Lutraria-tweekleppigen-gewone otterschelp,Macoma-tweekleppigen-gewoon nonnejte,Mactra-tweekleppigen-grote strandschelp,Mya-tweekleppigen-grote-afgeknotte gaper,Mytilus-tweekleppigen-mossel,Petricolaria-tweekleppigen-Amerikaanse boormossel,Spisula-tweekleppigen-halfgeknotte-stevige-elliptische strandschelp,Tellimya-tweekleppigen-ovaal-dunschalig zeeklitschelpje,Tellina-tweekleppigen-tere-rechtsgestreepte platschelp,Venerupis-tweekleppigen-kleine tapijtschelp,Asterias-stekelhuidigen-gewone zeester,Echinocardium-stekelhuidigen-zee-egels-zeeklitten,Ophiothrix-stekelhuidigen-slangsterren-brokkelster,Ophiura-stekelhuidigen-kleine-gewone slangster
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,260,2367,86,900,105,121,127,87,506,14,309,109,201,166,72,98,51,499,37,66,19,69,63,78,94,5,72,63,45,8,78,108,63,131,36,33,5,225,82,97,409,57,24,2,91,63,0,9
1992,140,655,18,100,117,113,357,129,119,575,81,143,159,60,86,100,58,910,115,96,59,33,13,76,170,6,48,114,26,1,17,80,21,136,83,41,1,171,71,169,312,61,12,4,54,47,166,19
1993,521,2191,140,2388,42,91,3922,131,356,888,278,314,1897,70,56,93,52,898,124,69,106,28,13,59,189,146,63,69,59,32,12,64,13,333,118,401,60,320,85,103,91,56,115,0,47,243,29,55
1994,427,1443,30,2221,50,90,2407,171,49,572,99,633,3160,211,43,81,52,1133,112,81,95,60,44,109,150,160,75,87,94,31,15,69,67,101,538,137,12,120,70,190,19,22,25,0,24,17,409,19
1995,263,1023,119,2220,80,79,252,56,66,104,35,259,412,74,32,73,44,419,95,63,6,58,57,49,29,113,138,334,52,721,29,57,21,142,911,27,15,174,56,127,18,1,28,1,18,3,0,34
1996,33,8135,30,2862,63,68,272,57,33,310,590,980,163,312,21,69,34,132,75,55,25,70,70,16,26,62,15,607,113,223,3,31,7,26,2723,113,14,162,60,91,21,6,48,40,27,6,278,25
1997,131,1312,74,1557,66,86,356,74,99,818,1127,116,147,302,32,77,68,252,116,70,13,76,22,53,172,51,39,77,138,207,3,25,3,103,3196,136,6,136,54,109,8,39,77,3,44,76,18,20
1998,29,1028,13,55,39,75,311,65,64,128,579,218,76,588,36,80,140,702,152,59,5,149,84,52,101,233,58,202,114,62,2,33,3,162,4479,123,17,1441,87,89,6,24,46,208,37,13,109,45
1999,81,1081,52,8585,35,82,303,59,29,349,675,146,460,49,54,82,125,531,175,43,1,101,69,49,144,490,56,112,181,55,7,14,19,140,3498,147,5,1173,98,53,5,44,44,190,33,24,1624,18
2000,12,391,104,1391,23,74,229,80,43,724,333,361,42,166,55,77,100,488,84,28,22,88,139,59,64,169,22,437,161,40,37,17,19,417,3667,116,7,1052,93,124,2,16,63,144,29,10,1912,7
2001,828,483,78,1390,30,73,107,72,101,182,394,97,92,62,51,91,157,3773,233,63,5,122,125,90,26,154,23,244,137,60,23,33,4,417,4264,54,3,989,82,94,3,27,26,88,33,12,366,53
