Year,Bot,Dikkopje,Dwergbolk,Dwergtong,Grauwe poon,Griet,Haring,Harnasmannetje,Horsmakreel,Kabeljauw,Kleine pieterman,Kleine zandspiering,Pitvis,Puitaal,Rasterpitvis,Rode poon,Schar,Schol,Schurftvis,Slakdolf,Smelt,Spiering,Sprot,Steenbolk,Tarbot,Tong,Tongschar,Vijfdradige meun,Wijting,Zeedonderpad,Zeenaalden indet.
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,80,165,25,264,109,163,521,358,43,45,486,89,12,1216,97,113,146,291,32,42,229,502,72,51,176,2118,9,20,49,230,51
1992,74,164,2,280,153,321,53,373,56,13,245,21,86,432,112,272,104,174,284,66,167,140,56,4,190,193,13,121,47,3062,84
1993,51,206,17,715,127,35,93,989,45,10,166,25,121,56,114,162,68,148,209,235,129,153,60,36,713,162,11,174,13,3497,447
1994,58,164,18,495,162,154,59,379,31,164,241,58,14,119,99,97,96,119,112,31,193,205,45,10,95,412,20,3,70,365,3286
1995,32,162,49,124,166,11,626,264,24,286,272,47,19,289,98,17,89,88,70,2,439,630,49,7,89,86,10,4,40,1774,16
1996,35,403,3,18,132,11,622,213,93,170,36,160,5,2761,112,35,79,329,11,155,97,4681,108,2,30,500,8,115,16,16868,169
1997,48,495,23,166,161,43,328,851,18,373,275,57,22,803,117,73,69,202,40,17,118,198,109,10,55,462,13,134,24,43722,282
1998,10,61,37,81,539,26,14,835,23,1301,93,6,123,65,131,33,49,105,42,56,12,216,103,22,35,181,19,68,91,20015,264
1999,16,301,3,249,137,77,133,274,20,190,134,43,39,1090,120,45,58,112,83,236,132,409,325,11,125,258,16,25,43,2453,962
2000,49,147,2,714,758,68,22,411,17,59,139,23,25,659,444,41,46,87,124,53,180,56,64,7,28,126,23,80,74,1483,220
2001,35,88,5,68,311,72,111,355,12,517,135,7,25,46,152,32,30,150,78,41,52,78,118,6,55,1097,13,44,193,2095,230
2002,71,176,2,166,129,42,175,675,8,131,98,11,30,45,247,146,31,125,121,22,117,215,106,2,60,263,16,98,196,6569,1504
2003,55,621,3,503,237,154,173,35,8,134,175,11,46,107,63,84,170,212,194,18,304,1888,54,4,94,332,10,49,75,3403,725
2004,37,176,13,572,284,15,60,295,16,398,92,10,35,349,16,56,47,145,190,47,350,93,99,8,60,82,19,108,201,5829,154
2005,12,215,3,540,232,79,161,96,6,288,41,52,86,76,19,30,66,60,285,119,106,638,149,0,94,308,10,213,37,14798,216
2006,26,315,3,296,271,25,1773,169,11,540,34,44,57,39,24,32,18,120,112,24,53,720,184,0,118,108,44,1,34,3930,2327
2007,64,224,7,294,241,32,182,232,3,633,34,94,20,20,229,82,93,73,259,205,119,3959,210,18,53,76,10,119,312,3881,375
2008,75,88,0,283,274,197,55,653,4,116,24,65,38,31,97,87,54,117,189,256,242,911,1016,3,277,108,14,169,87,9237,1172
2009,65,258,0,599,662,70,23,1709,3,133,13,40,22,22,96,37,185,116,147,51,121,1002,130,1,34,278,39,180,131,19606,540
2010,61,214,0,271,417,52,61,557,3,62,20,92,17,43,6776,73,28,170,146,186,124,4723,81,0,69,673,42,175,118,40730,1926
2011,46,205,0,447,532,61,60,1481,3,101,16,57,11,338,1136,204,28,87,206,891,155,4706,59,0,65,166,14,195,92,49757,1382
2012,32,208,0,232,365,73,39,344,4,170,31,143,30,165,5535,91,35,67,242,193,526,2923,57,1,54,166,11,202,59,18936,1194
2013,91,165,0,334,395,121,45,453,2,708,14,83,28,1157,355,127,39,77,150,677,197,748,149,0,50,378,14,166,191,10383,1855
2014,49,379,0,407,979,125,74,1159,2,96,71,77,46,814,438,297,41,108,169,259,374,3377,131,14,384,972,35,415,107,23404,1883
2015,46,99,1,392,408,22,205,663,2,6,75,43,9,203,905,141,35,74,132,168,254,485,156,0,103,245,11,81,38,18283,1421
