Year,Aalscholver,Bergeend,Bontbekplevier,Bonte Strandloper,Brilduiker,Dodaars,Drieteenstrandloper,Dwergstern,Fuut,Geoorde Fuut,Groenpootruiter,Grote Mantelmeeuw,Kanoet,Kleine Zilverreiger,Kluut,Kokmeeuw,Kuifduiker,Lepelaar,Middelste Zaagbek,Pijlstaart,Regenwulp,Rosse Grutto,Scholekster,Steenloper (wint. Eur.),Stormmeeuw,Strandplevier,Tureluur,Visdief,Wintertaling,Wulp,Zilvermeeuw,Zilverplevier,Zwartbuikrotgans,Zwarte Ruiter
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,117,74,126,95,641,108,76,0,102,86,57,40,238,575,70,98,100,150,156,79,208,82,100,104,105,106,82,110,73,102,92,106,115,71
1992,119,73,103,69,245,50,37,600,114,77,62,55,132,175,64,106,50,25,141,75,78,84,91,78,368,95,61,131,71,84,148,100,125,102
1993,139,74,110,59,414,57,32,0,70,55,41,59,126,325,74,93,0,250,108,56,69,63,73,53,221,80,83,91,53,84,203,99,95,102
1994,139,88,115,87,395,53,50,60,114,95,40,77,168,1125,65,69,100,225,151,65,115,71,81,76,289,51,93,76,69,82,286,97,102,112
1995,154,72,144,94,668,108,60,0,178,159,71,66,215,1250,77,93,240,1550,354,76,200,80,79,107,295,92,113,108,114,91,262,114,106,146
1996,183,122,165,113,1023,279,65,60,166,309,115,70,271,2500,60,122,1190,525,321,120,205,81,100,119,279,40,113,125,90,94,194,115,95,171
1997,233,72,179,67,755,62,82,0,146,264,105,52,174,7225,62,84,1000,450,236,39,220,67,76,90,416,95,96,100,59,88,210,83,88,131
1998,196,82,152,59,486,34,50,460,114,259,122,114,153,5350,78,100,190,350,221,37,124,88,60,90,332,80,63,152,80,86,194,71,98,138
1999,191,101,189,73,555,66,118,200,128,323,92,82,265,5975,86,83,1050,1700,192,139,173,75,56,79,274,82,80,150,151,90,171,85,80,98
2000,143,116,127,91,641,123,74,1400,156,545,85,90,297,7825,110,85,570,1350,213,87,153,75,51,74,379,65,89,147,133,94,159,78,92,126
2001,185,122,161,97,455,116,97,820,200,455,101,73,294,13500,123,75,1000,2500,256,133,169,79,56,74,526,63,105,225,204,108,160,87,77,154
2002,196,148,139,110,341,167,120,740,218,705,111,78,250,11650,128,91,3240,3400,303,132,317,94,66,90,421,72,128,175,316,123,163,97,77,185
2003,187,160,127,102,545,280,154,480,182,2932,115,50,318,12175,122,80,5050,2700,508,132,275,102,57,95,353,42,117,320,282,134,143,88,72,175
2004,211,110,105,85,523,219,147,400,190,2327,97,69,297,10400,132,77,13480,2300,521,64,417,81,50,90,416,23,123,366,259,144,133,94,79,120
2005,170,113,152,108,277,226,103,0,208,1795,115,41,353,5600,210,78,12480,2650,413,95,410,91,45,101,263,55,145,225,333,141,122,99,74,112
2006,196,107,140,125,359,429,225,120,300,4718,97,57,506,6950,194,82,16140,3400,549,117,447,93,55,138,437,38,143,301,359,195,113,122,98,108
2007,200,95,116,121,377,372,159,720,210,3014,93,105,391,6775,204,75,9520,4975,395,77,603,78,52,161,200,28,126,312,314,202,105,122,97,112
2008,213,116,140,120,286,370,310,0,226,5023,78,62,309,4050,220,74,9430,6125,341,75,588,74,47,154,432,42,141,267,231,192,97,98,94,83
2009,211,99,124,98,182,330,254,180,194,3277,70,60,268,4850,147,102,6050,6825,285,60,993,75,49,143,500,35,131,304,206,204,87,106,76,95
2010,194,79,92,112,241,276,245,500,136,4077,98,45,274,9675,133,97,6710,7625,305,61,988,93,53,129,521,40,115,332,300,224,89,110,85,77
2011,204,84,132,98,209,288,212,560,158,4395,83,57,159,,132,111,16330,7575,449,47,829,96,51,132,416,52,114,283,416,217,83,106,79,94
2012,185,82,115,103,123,209,237,620,180,11673,83,97,106,,140,112,6290,12000,379,45,525,71,45,103,342,57,95,222,373,199,113,97,87,66
2013,196,66,90,99,282,266,272,440,164,14045,64,39,165,,117,110,10620,9575,467,57,495,96,47,113,263,39,74,227,480,204,63,109,101,65
2014,183,83,134,97,123,174,200,760,138,10300,40,53,126,,144,,12520,7950,351,65,925,89,43,112,242,25,78,244,286,233,76,102,103,54
2015,161,110,115,98,118,187,182,,140,7486,42,0,126,,135,,11900,11850,336,103,658,98,41,118,279,33,84,247,337,235,79,109,130,66
