Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aalscholver,100,117,119,139,139,154,183,233,196,191,143,185,196,187,211,170,196,200,213,211,194,204,185,196,183,161
Bergeend,100,74,73,74,88,72,122,72,82,101,116,122,148,160,110,113,107,95,116,99,79,84,82,66,83,110
Bontbekplevier,100,126,103,110,115,144,165,179,152,189,127,161,139,127,105,152,140,116,140,124,92,132,115,90,134,115
Bonte Strandloper,100,95,69,59,87,94,113,67,59,73,91,97,110,102,85,108,125,121,120,98,112,98,103,99,97,98
Brilduiker,100,641,245,414,395,668,1023,755,486,555,641,455,341,545,523,277,359,377,286,182,241,209,123,282,123,118
Dodaars,100,108,50,57,53,108,279,62,34,66,123,116,167,280,219,226,429,372,370,330,276,288,209,266,174,187
Drieteenstrandloper,100,76,37,32,50,60,65,82,50,118,74,97,120,154,147,103,225,159,310,254,245,212,237,272,200,182
Dwergstern,100,0,600,0,60,0,60,0,460,200,1400,820,740,480,400,0,120,720,0,180,500,560,620,440,760,
Fuut,100,102,114,70,114,178,166,146,114,128,156,200,218,182,190,208,300,210,226,194,136,158,180,164,138,140
Geoorde Fuut,100,86,77,55,95,159,309,264,259,323,545,455,705,2932,2327,1795,4718,3014,5023,3277,4077,4395,11673,14045,10300,7486
Groenpootruiter,100,57,62,41,40,71,115,105,122,92,85,101,111,115,97,115,97,93,78,70,98,83,83,64,40,42
Grote Mantelmeeuw,100,40,55,59,77,66,70,52,114,82,90,73,78,50,69,41,57,105,62,60,45,57,97,39,53,0
Kanoet,100,238,132,126,168,215,271,174,153,265,297,294,250,318,297,353,506,391,309,268,274,159,106,165,126,126
Kleine Zilverreiger,100,575,175,325,1125,1250,2500,7225,5350,5975,7825,13500,11650,12175,10400,5600,6950,6775,4050,4850,9675,,,,,
Kluut,100,70,64,74,65,77,60,62,78,86,110,123,128,122,132,210,194,204,220,147,133,132,140,117,144,135
Kokmeeuw,100,98,106,93,69,93,122,84,100,83,85,75,91,80,77,78,82,75,74,102,97,111,112,110,,
Kuifduiker,100,100,50,0,100,240,1190,1000,190,1050,570,1000,3240,5050,13480,12480,16140,9520,9430,6050,6710,16330,6290,10620,12520,11900
Lepelaar,100,150,25,250,225,1550,525,450,350,1700,1350,2500,3400,2700,2300,2650,3400,4975,6125,6825,7625,7575,12000,9575,7950,11850
Middelste Zaagbek,100,156,141,108,151,354,321,236,221,192,213,256,303,508,521,413,549,395,341,285,305,449,379,467,351,336
Pijlstaart,100,79,75,56,65,76,120,39,37,139,87,133,132,132,64,95,117,77,75,60,61,47,45,57,65,103
Regenwulp,100,208,78,69,115,200,205,220,124,173,153,169,317,275,417,410,447,603,588,993,988,829,525,495,925,658
Rosse Grutto,100,82,84,63,71,80,81,67,88,75,75,79,94,102,81,91,93,78,74,75,93,96,71,96,89,98
Scholekster,100,100,91,73,81,79,100,76,60,56,51,56,66,57,50,45,55,52,47,49,53,51,45,47,43,41
Steenloper (wint. Eur.),100,104,78,53,76,107,119,90,90,79,74,74,90,95,90,101,138,161,154,143,129,132,103,113,112,118
Stormmeeuw,100,105,368,221,289,295,279,416,332,274,379,526,421,353,416,263,437,200,432,500,521,416,342,263,242,279
Strandplevier,100,106,95,80,51,92,40,95,80,82,65,63,72,42,23,55,38,28,42,35,40,52,57,39,25,33
Tureluur,100,82,61,83,93,113,113,96,63,80,89,105,128,117,123,145,143,126,141,131,115,114,95,74,78,84
Visdief,100,110,131,91,76,108,125,100,152,150,147,225,175,320,366,225,301,312,267,304,332,283,222,227,244,247
Wintertaling,100,73,71,53,69,114,90,59,80,151,133,204,316,282,259,333,359,314,231,206,300,416,373,480,286,337
Wulp,100,102,84,84,82,91,94,88,86,90,94,108,123,134,144,141,195,202,192,204,224,217,199,204,233,235
Zilvermeeuw,100,92,148,203,286,262,194,210,194,171,159,160,163,143,133,122,113,105,97,87,89,83,113,63,76,79
Zilverplevier,100,106,100,99,97,114,115,83,71,85,78,87,97,88,94,99,122,122,98,106,110,106,97,109,102,109
Zwartbuikrotgans,100,115,125,95,102,106,95,88,98,80,92,77,77,72,79,74,98,97,94,76,85,79,87,101,103,130
Zwarte Ruiter,100,71,102,102,112,146,171,131,138,98,126,154,185,175,120,112,108,112,83,95,77,94,66,65,54,66
