Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ampharete-borstelwormen,100,69,334,82,273,653,75,127,69,66,70,72,108,193,113,165,52,83,92,63,63,86,79,,,
Aphelochaeta-borstelwormen,100,43,60,65,250,61,47,97,70,59,55,45,36,124,73,59,106,51,25,61,20,25,495,,,
Arenicola-borstelwormen-wadpier,100,135,171,94,637,225,181,192,128,105,50,85,139,75,106,158,130,218,674,93,371,293,129,,,
Aricidea-borstelwormen,100,19,57,59,40,33,26,49,80,41,15,41,59,44,30,33,46,25,18,23,36,79,86,,,
Capitella-borstelwormen,100,88,110,97,146,122,84,72,90,125,101,199,156,277,283,222,341,158,137,295,66,209,39,,,
Eteone-borstelwormen,100,43,61,35,71,50,32,42,88,74,40,46,41,51,64,20,44,27,80,119,87,88,52,,,
Eumida-borstelwormen,100,435,400,308,250,37,532,266,445,96,75,130,347,75,100,396,68,36,35,13,4,7,3,,,
Gattyana-borstelwormen,100,116,230,516,167,134,75,240,130,88,74,88,88,74,74,594,73,126,150,97,130,215,77,,,
Heteromastus-borstelwormen,100,41,73,100,108,213,128,127,75,34,12,54,69,111,153,42,112,99,138,404,295,351,210,,,
Lanice-borstelwormen-schelpkokerworm,100,89,188,35,41,35,72,55,85,60,30,39,24,12,77,172,10,7,46,33,13,185,404,,,
Magelona-borstelwormen-zandkokerworm,100,13,59,28,14,24,26,45,198,24,195,58,38,60,100,86,67,20,32,73,85,286,213,,,
Malmgrenia-borstelwormen,100,124,85,34,17,36,65,46,87,43,37,47,57,43,79,95,43,78,93,62,67,120,260,,,
Microphthalmus-borstelwormen,100,76,36,113,7,51,88,17,28,8,6,47,135,400,45,25,61,14,8,3,1,2,256,,,
Myrianida-borstelwormen,100,12,70,28,56,29,30,42,74,25,68,89,8,18,121,436,165,22,48,13,39,133,90,,,
Nephtys-borstelwormen-gewone zandzager,100,115,131,120,72,62,87,111,105,89,90,96,103,95,76,84,61,24,19,20,49,204,93,,,
Nereis-borstelwormen-veelkleurige duizendpoot,100,11,18,9,32,10,67,12,7,9,22,9,33,15,4,19,12,16,49,12,5,0,0,,,
Notomastus-borstelwormen,100,108,250,47,9,5,3,5,133,221,68,69,264,181,293,356,329,20,338,79,351,14,675,,,
Pholoe-borstelwormen,100,156,165,47,112,142,139,72,135,88,106,46,39,50,94,230,207,24,121,103,9,3,128,,,
Phyllodoce-borstelwormen-gestippelde dieseltreinworm,100,25,158,41,40,34,27,27,55,46,27,83,43,44,1,40,46,39,33,59,8,31,25,,,
Polydora-borstelwormen,100,167,41,16,140,109,11,18,21,28,11,172,38,126,18,22,56,3,3,27,19,69,130,,,
Pseudopolydora-borstelwormen,100,94,96,48,68,15,15,69,62,80,90,79,36,18,45,36,46,6,2,2,5,130,129,,,
Pygospio-borstelwormen,100,43,206,98,93,54,44,121,74,41,23,25,35,22,9,18,26,2,37,4,10,32,14,,,
Scoloplos-borstelwormen-wapenworm,100,66,79,21,106,88,153,78,76,64,55,90,80,166,73,75,116,83,74,173,170,165,178,,,
Spio-borstelwormen-oranje zandkokerworm,100,59,66,40,29,36,20,40,23,22,55,9,10,14,16,17,11,2,7,4,36,37,12,,,
Spiophanes-borstelwormen-noordelijke zandkokerworm,100,55,105,27,62,82,66,204,297,179,123,80,195,163,92,75,199,69,42,78,34,799,288,,,
Sthenelais-borstelwormen,100,51,234,53,17,23,32,52,268,97,64,87,46,109,57,475,687,125,91,74,256,842,459,,,
Syllidia-borstelwormen,100,6,1,4,7,2,1,2,2,6,14,30,6,4,9,29,9,7,5,4,3,7,1,,,
Tharyx-borstelwormen,100,50,100,100,100,100,125,100,100,100,100,100,100,100,100,100,100,125,150,125,125,2500,4550,,,
Aora-kreeftachtigen-vlokreeftjes,100,221,92,93,91,91,93,104,124,101,97,97,104,97,99,187,108,110,115,112,122,113,13,,,
Bathyporeia-kreeftachtigen-vlokreeftjes,100,69,728,234,687,429,443,455,211,378,234,102,87,201,45,151,213,32,176,100,24,175,128,,,
Bodotria-kreeftachtigen-zeekomma's,100,183,175,35,18,20,163,197,23,15,23,22,9,14,21,60,58,414,104,84,37,33,29,,,
Caprellidae-kreeftachtigen-vlokreeftjes,100,1736,1148,481,945,859,645,256,673,375,66,330,889,64,70,2830,853,564,203,57,19,9,3,,,
Carcinus-kreeftachtigen-strandkrab,100,70,61,46,135,147,107,51,97,26,76,9,64,89,114,17,25,18,26,34,32,111,94,,,
Corophium-kreeftachtigen-vlokreeftjes,100,23,67,35,46,36,80,23,52,33,71,155,109,65,47,94,28,16,42,34,136,391,2,,,
Crangon-kreeftachtigen-gewone garnaal,100,115,116,148,127,102,193,197,212,86,170,80,197,75,43,167,152,36,14,113,90,339,58,,,
Gammarus-kreeftachtigen-vlokreeftjes,100,105,361,68,102,22,57,365,269,48,40,33,60,156,78,83,120,22,16,28,47,125,113,,,
Microdeutopus-vlokreeftjes-vlokreeftjes,100,60,41,10,2,98,106,52,101,92,77,433,308,332,173,230,242,132,22,11,80,1947,28,,,
Microprotopus-kreeftachtigen-vlokreeftjes,100,232,55,60,42,36,39,66,43,19,19,65,41,61,9,27,14,21,10,7,6,5,2,,,
Urothoe-kreeftachtigen-vlokreeftjes,100,279,255,428,378,239,400,589,413,195,258,264,268,189,178,323,382,604,1656,86,530,704,645,,,
Nemertea-overige ringwormen,100,62,111,41,36,19,33,53,62,47,84,127,113,260,168,87,227,57,53,188,66,72,1146,,,
Tubificoides-overige ringwormen-kromschedekustworm,100,105,109,94,143,92,127,87,108,68,90,88,133,153,71,90,44,27,110,102,107,38,68,,,
Peringia-slakken-wadslakje,100,201,192,505,801,365,281,372,738,1357,1225,596,379,578,680,304,214,492,239,10,174,272,594,,,
Retusa-slakken-ovale oubliehoren,100,34,40,124,98,79,78,85,84,54,71,44,80,141,23,98,5,12,24,50,162,502,399,,,
Abra-tweekleppigen-witte-prismatische dunschaal,100,271,913,145,576,289,604,2256,3189,668,917,2003,1889,1598,704,1099,333,23,432,130,385,606,2264,,,
Cerastoderma-tweekleppigen-kokkel,100,149,147,128,167,70,51,51,107,93,70,102,100,123,260,109,133,128,121,123,98,112,81,,,
Corbula-tweekleppigen-korfschelp,100,899,141,1417,1986,1851,845,645,4615,5144,4970,10714,5376,6453,2388,2772,5015,167,141,88,222,260,351,,,
Macoma-tweekleppigen-gewoon nonnejte,100,77,78,55,169,105,378,445,394,266,280,303,338,182,195,195,204,226,397,362,543,547,786,,,
Mya-tweekleppigen-grote-afgeknotte gaper,100,28,25,17,167,73,51,223,221,76,48,56,71,43,34,56,49,33,25,24,22,42,139,,,
Mytilus-tweekleppigen-mossel,100,57,4,30,339,91,139,17,13,22,265,87,61,100,122,52,109,26,117,104,52,109,30,,,
Scrobicularia-tweekleppigen-platte slijkgaper,100,25,375,175,0,0,0,75,875,7725,550,1600,1075,3350,1850,1950,1225,6600,175,225,1250,275,150,,,
Spisula-tweekleppigen-halfgeknotte-stevige-elliptische strandschelp,100,60,5,9,33,5,4,9,2,1,1,2,24,4,1,1,0,1,1,1,1,2,6,,,
Tellina-tweekleppigen-tere-rechtsgestreepte platschelp,100,208,474,202,41,32,42,96,207,298,77,131,153,120,180,535,88,165,547,1267,1343,164,132,,,
Venerupis-tweekleppigen-kleine tapijtschelp,100,211,100,91,222,71,86,464,427,26,93,633,143,50,35,243,195,103,82,186,52,168,3011,,,
Echinocardium-stekelhuidigen-zee-egels-zeeklitten,100,125,115,598,51,51,51,51,51,51,51,137,76,51,51,138,163,70,112,342,109,146,110,,,
Ophiura-stekelhuidigen-kleine-gewone slangster,100,59,72,18,27,375,99,154,89,146,57,139,121,23,29,236,190,166,163,154,169,208,852,,,
