Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bot,100,103,96,91,87,95,117,77,73,70,71,65,65,60,61,60,54,52,54,53,47,45,42,43,40,39
Botervis,100,17,119,449,59,122,155,211,462,84,703,399,153,65,177,227,164,33,26,160,241,539,980,1573,670,838
Dikkopje,100,254,102,17,37,17,28,155,103,69,390,152,178,75,156,131,294,133,92,29,41,35,62,57,64,99
Griet,100,735,1342,382,214,147,46,687,820,356,1596,350,539,191,582,304,269,152,54,187,1379,1142,1579,880,897,414
Harnasmannetje,100,54,38,6,3,20,19,179,84,51,415,99,91,143,23,133,8,18,5,30,220,74,69,225,43,95
Kleine zandspiering,100,60,9,13,4,11,50,45,119,43,48,22,26,27,134,34,59,16,19,44,133,15,40,54,113,42
Pitvis,100,6,6,16,103,27,81,9,89,27,148,41,75,31,48,48,23,18,4,4,2,1,2,4,17,13
Puitaal,100,96,64,119,23,183,123,173,76,35,78,57,11,77,63,227,91,29,15,21,67,45,16,63,25,32
Schar,100,157,22,13,2,30,84,17,64,50,152,19,21,3,21,39,0,48,17,26,2,5,10,6,3,1
Schol,100,36,22,35,27,56,123,49,111,58,82,45,26,62,51,79,13,40,49,41,31,26,30,51,27,11
Smelt,100,173,485,102,43,191,755,518,313,225,68,232,51,159,526,224,539,374,451,901,874,425,369,2824,467,285
Steenbolk,100,6,3,25,22,160,37,12,78,86,58,20,17,141,101,17,2,22,7,7,4,4,4,3,11,7
Tong,100,178,244,159,80,265,525,294,176,383,744,239,686,313,193,760,58,207,129,187,219,184,143,85,150,54
Vijfdradige meun,100,12,35,7,50,58,4,7,133,17,58,40,32,52,99,251,47,60,49,100,77,299,81,38,236,74
Wijting,100,184,286,63,4,3,742,296,638,451,136,218,14,104,233,789,151,464,101,317,390,370,244,1242,108,588
Zeedonderpad,100,17,132,174,15,281,384,643,323,185,58,129,218,136,189,224,22,172,72,229,540,916,203,166,171,91
Zeenaalden indet.,100,63,21,6,7,5,9,6,96,30,103,22,17,23,13,66,50,12,10,11,36,49,27,187,238,105
