Year,Bot,Botervis,Dikkopje,Griet,Harnasmannetje,Kleine zandspiering,Pitvis,Puitaal,Schar,Schol,Smelt,Steenbolk,Tong,Vijfdradige meun,Wijting,Zeedonderpad,Zeenaalden indet.
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,103,17,254,735,54,60,6,96,157,36,173,6,178,12,184,17,63
1992,96,119,102,1342,38,9,6,64,22,22,485,3,244,35,286,132,21
1993,91,449,17,382,6,13,16,119,13,35,102,25,159,7,63,174,6
1994,87,59,37,214,3,4,103,23,2,27,43,22,80,50,4,15,7
1995,95,122,17,147,20,11,27,183,30,56,191,160,265,58,3,281,5
1996,117,155,28,46,19,50,81,123,84,123,755,37,525,4,742,384,9
1997,77,211,155,687,179,45,9,173,17,49,518,12,294,7,296,643,6
1998,73,462,103,820,84,119,89,76,64,111,313,78,176,133,638,323,96
1999,70,84,69,356,51,43,27,35,50,58,225,86,383,17,451,185,30
2000,71,703,390,1596,415,48,148,78,152,82,68,58,744,58,136,58,103
2001,65,399,152,350,99,22,41,57,19,45,232,20,239,40,218,129,22
2002,65,153,178,539,91,26,75,11,21,26,51,17,686,32,14,218,17
2003,60,65,75,191,143,27,31,77,3,62,159,141,313,52,104,136,23
2004,61,177,156,582,23,134,48,63,21,51,526,101,193,99,233,189,13
2005,60,227,131,304,133,34,48,227,39,79,224,17,760,251,789,224,66
2006,54,164,294,269,8,59,23,91,0,13,539,2,58,47,151,22,50
2007,52,33,133,152,18,16,18,29,48,40,374,22,207,60,464,172,12
2008,54,26,92,54,5,19,4,15,17,49,451,7,129,49,101,72,10
2009,53,160,29,187,30,44,4,21,26,41,901,7,187,100,317,229,11
2010,47,241,41,1379,220,133,2,67,2,31,874,4,219,77,390,540,36
2011,45,539,35,1142,74,15,1,45,5,26,425,4,184,299,370,916,49
2012,42,980,62,1579,69,40,2,16,10,30,369,4,143,81,244,203,27
2013,43,1573,57,880,225,54,4,63,6,51,2824,3,85,38,1242,166,187
2014,40,670,64,897,43,113,17,25,3,27,467,11,150,236,108,171,238
2015,39,838,99,414,95,42,13,32,1,11,285,7,54,74,588,91,105
