Year,Waarneming,Trend,Onzekerheid ondergrens,Onzekerheid bovengrens
1990,104,100,85,117
1991,99,101,90,115
1992,96,103,93,113
1993,107,104,95,113
1994,108,105,97,114
1995,111,106,98,115
1996,114,107,99,117
1997,92,109,100,118
1998,101,110,100,120
1999,110,110,101,121
2000,124,111,102,121
2001,123,111,102,121
2002,104,111,102,121
2003,104,110,101,118
2004,112,108,100,117
2005,112,106,98,114
2006,92,104,96,112
2007,104,104,96,112
2008,105,104,97,112
2009,106,104,98,112
2010,103,105,99,112
2011,118,106,100,112
2012,100,107,101,113
2013,118,108,103,114
2014,101,110,104,116
2015,113,112,104,121
