Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Metridium-bloemdieren-zeeanemonen,100,100,100,0,0,50,300,500,900,1450,550,1950,800,1212,1050,4462,7262,7713,9350,7500,850,1500,,,,
Alitta-borstelwormen-gewone zager,100,143,221,113,165,652,148,110,46,133,133,93,120,865,615,611,439,802,976,1778,1222,1105,736,869,813,817
Arenicola-borstelwormen-wadpier,100,355,261,219,175,163,225,121,98,112,108,210,275,274,185,293,230,192,178,312,369,273,225,385,229,305
Bylgides-borstelwormen,100,184,272,58,3,958,299,331,432,448,351,113,715,278,379,474,116,65,322,822,667,559,683,80,488,
Capitella-borstelwormen,100,132,750,690,395,212,1604,111,439,597,370,303,107,92,188,372,54,118,436,689,913,1911,524,1635,565,1561
Eteone-borstelwormen,100,574,197,294,179,410,2392,350,656,489,622,670,303,492,180,463,132,208,250,972,588,770,746,2495,371,852
Hediste-borstelwormen,100,88,134,60,173,109,153,117,113,153,71,118,89,120,79,67,128,122,104,69,102,75,32,138,144,100
Heteromastus-borstelwormen,100,91,101,61,114,258,443,325,249,222,90,115,110,99,96,141,163,12,17,10,15,24,25,26,36,28
Lanice-borstelwormen-schelpkokerworm,100,221,86,96,10,34,22,2,88,73,56,34,35,122,98,81,3,31,49,12,19,10,2,7,25,40
Magelona-borstelwormen-zandkokerworm,100,62,40,136,97,64,23,5,3,3,30,0,17,5,0,0,14,24,14,14,22,48,13,6,46,2
Malmgrenia-borstelwormen,100,10,99,89,14,28,12,0,0,7,53,25,44,24,75,110,28,47,77,6,10,4,3,4,6,41
Marenzelleria-borstelwormen,100,27,54,53,54,59,48,83,57,394,80,320,220,52,67,68,32,209,189,129,42,31,31,85,15,122
Nephtys-borstelwormen-gewone zandzager,100,44,51,53,38,61,16,11,15,24,37,46,54,51,50,39,26,30,16,11,10,17,31,17,12,16
Phyllodoce-borstelwormen-gestippelde dieseltreinworm,100,474,91,189,100,30,462,70,240,42,87,175,38,25,19,124,14,54,10,47,77,135,50,70,55,11
Polydora-borstelwormen,100,39,7,55,185,923,10,18,22,35,50,209,102,103,131,324,387,306,544,442,429,96,377,574,158,170
Pygospio-borstelwormen,100,204,110,53,186,225,324,17,11,14,18,186,39,47,53,117,79,182,57,619,603,573,525,4520,535,883
Scolelepis-borstelwormen,100,83,112,77,94,88,84,112,136,63,115,82,88,50,12,45,11,46,34,57,82,179,68,115,55,27
Scoloplos-borstelwormen-wapenworm,100,118,152,206,198,215,130,179,466,231,324,113,120,77,73,177,95,101,207,247,148,328,326,271,374,237
Spio-borstelwormen-oranje zandkokerworm,100,4,9,2,16,28,1,1,1,1,4,3,13,1,9,38,9,16,11,2,1,30,3,4,6,5
Spiophanes-borstelwormen-noordelijke zandkokerworm,100,217,117,108,0,158,298,74,50,24,250,122,374,169,998,275,100,372,281,150,0,466,1142,82,150,284
Bathyporeia-kreeftachtigen-vlokreeftjes,100,86,203,60,46,54,39,14,63,39,81,65,35,16,24,31,7,30,4,8,0,27,9,11,88,47
Carcinus-kreeftachtigen-strandkrab,100,106,44,64,47,41,76,65,29,30,46,60,28,75,34,55,21,25,49,65,68,58,47,169,25,32
Corophium-kreeftachtigen-vlokreeftjes,100,18,21,30,33,27,33,42,14,23,18,23,17,24,24,24,16,20,16,19,25,35,34,54,26,45
Crangon-kreeftachtigen-gewone garnaal,100,49,37,91,57,57,71,47,48,32,58,53,40,44,72,56,29,24,30,25,29,69,50,53,21,20
Gammarus-kreeftachtigen-vlokreeftjes,100,564,18,76,29,19,27,12,17,9,46,25,40,14,14,29,3,24,4,96,38,6,25,4,11,9
Urothoe-kreeftachtigen-vlokreeftjes,100,55,201,193,84,116,7,5,15,13,30,51,75,113,135,133,129,188,127,139,114,153,173,152,228,171
Nemertea-snoerwormen,100,50,26,101,66,9,56,40,43,12,48,32,25,13,13,18,39,30,28,17,4,11,1,19,13,5
Littorina-slakken-alikruiken,100,208,17,114,83,128,262,388,646,235,1071,483,544,259,814,1637,2988,2406,1456,781,383,,,,,
