Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aal,100,293,128,94,228,612,248,959,396,1389,831,380,694,333,271,227,110,49,135,29,42,8,2,45,49,3442
Bot,100,104,37,43,400,135,108,69,47,245,230,731,78,167,93,85,225,133,282,124,127,53,103,142,69,107
Botervis,100,57,314,103,40,75,45,61,54,37,113,152,38,123,127,21,20,18,83,65,112,46,52,201,127,231
Dikkopje,100,947,148,150,236,101,360,200,74,238,65,157,66,64,265,262,31,67,47,91,99,103,26,260,72,79
Fint,100,64,84,52,197,54,50,80,71,78,58,33,53,289,69,82,968,65,78,75,76,305,248,148,25,29
Griet,100,63,82,43,14,12,28,39,17,47,78,76,41,25,57,119,9,12,90,50,79,40,40,77,81,44
Haring,100,13,37,30,70,283,24,13,32,30,10,30,8,33,100,11,13,176,94,6,11,7,16,15,10,46
Harnasmannetje,100,112,54,58,609,357,116,359,163,22,32,31,48,56,16,6,9,74,27,110,526,183,78,114,104,164
Horsmakreel,100,340,102,211,121,149,284,227,143,270,152,2370,295,694,214,286,893,204,648,152,153,105,273,311,294,885
Kabeljauw,100,681,44,108,1416,567,686,408,1068,37,400,803,34,58,229,154,239,784,102,119,118,78,14,157,111,40
Kleine pieterman,100,314,235,214,191,1935,68,60,155,225,916,302,167,250,89,18,99,77,138,179,108,82,75,77,54,249
Kleine zandspiering,100,44,35,24,62,99,197,460,101,170,194,798,976,667,1328,124,22,65,523,49,318,528,123,578,724,1520
Lozano's grondel,100,99,101,95,95,16,90,95,95,90,95,93,94,94,94,94,93,5,94,83,17,89,718,75,19,8
Pitvis,100,11,16,13,8,10,2,13,18,38,10,22,9,1,12,3,3,4,1,1,0,2,1,0,1,3
Puitaal,100,43,18,29,33,37,50,70,44,94,38,44,20,21,21,16,12,7,15,23,30,36,34,23,41,24
Rode poon,100,558,900,1419,395,338,180,921,499,703,1848,573,1330,1546,1073,339,458,2766,893,842,2988,1754,170,9166,10010,1109
Schar,100,103,24,48,43,67,17,6,10,16,14,117,2,2,17,2,5,10,1,1,1,2,2,2,0,1
Schol,100,90,22,61,41,66,124,30,52,35,36,52,15,54,17,15,43,15,29,14,32,6,24,28,11,37
Slakdolf,100,367,662,1924,39,10,1340,31,511,532,719,964,8,4,129,246,42,194,312,309,423,828,491,412,159,603
Smelt,100,402,1246,3998,2338,19203,3717,1804,4501,2814,5211,5194,7168,4218,1921,864,2278,4897,5440,5551,3938,3231,1558,7039,4965,6271
Spiering,100,4,8,16,42,17,85,10,11,46,37,16,19,5,7,59,24,18,36,5,79,23,7,8,9,4
Sprot,100,20,48,92,12,30,9,178,48,187,31,8,8,0,85,42,1,1,1,6,5,4,3,4,10,5
Steenbolk,100,27,25,32,30,16,6,7,29,10,26,10,9,4,14,2,2,12,7,5,4,2,1,1,4,5
Tarbot,100,49,88,152,43,135,782,45,46,345,30,25,42,30,34,41,42,35,36,23,76,54,33,76,172,52
Tong,100,1602,73,263,72,63,600,303,143,379,359,384,549,98,146,1327,314,234,251,303,314,331,62,707,255,314
Vijfdradige meun,100,53,51,177,113,88,54,114,108,99,233,125,194,36,233,183,27,73,140,174,70,166,123,37,134,279
Wijting,100,29,37,21,55,26,11,11,17,17,11,13,6,4,5,4,3,11,6,5,6,7,2,9,2,9
Zeedonderpad,100,33,81,59,86,214,1202,683,257,117,119,113,84,282,142,47,26,49,317,146,192,318,107,83,159,280
Zeenaalden indet.,100,59,47,177,79,28,63,57,65,154,60,27,90,179,37,86,13,5,36,11,50,11,31,130,15,20
