Year,Aphelochaeta-borstelwormen,Arenicola-borstelwormen-wadpier,Capitella-borstelwormen,Eteone-borstelwormen,Heteromastus-borstelwormen,Lanice-borstelwormen-schelpkokerworm,Magelona-borstelwormen-zandkokerworm,Nephtys-borstelwormen-gewone zandzager,Nereis-borstelwormen-veelkleurige duizendpoot,Paradonis-borstelwormen,Phyllodoce-borstelwormen-gestippelde dieseltreinworm,Polydora-borstelwormen,Pygospio-borstelwormen,Scoloplos-borstelwormen-wapenworm,Spio-borstelwormen-oranje zandkokerworm,Spiophanes-borstelwormen-noordelijke zandkokerworm,Streblospio-borstelwormen,Bathyporeia-kreeftachtigen-vlokreeftjes,Carcinus-kreeftachtigen-strandkrab,Corophium-kreeftachtigen-vlokreeftjes,Crangon-kreeftachtigen-gewone garnaal,Cyathura-kreeftachtigen-lijnpissebed,Eurydice-kreeftachtigen-agaatpissebed,Gammarus-kreeftachtigen-vlokreeftjes,Gastrosaccus-kreeftachtigen-aasgarnalen,Mesopodopsis-kreeftachtigen-aasgarnalen,Mysida-kreeftachtigen-aasgarnalen,Nemertea-overige ringwormen,Tubificoides-overige ringwormen-kromschedekustworm,Peringia-slakken-wadslakje,Cerastoderma-tweekleppigen-kokkel,Macoma-tweekleppigen-gewoon nonnejte,Mya-tweekleppigen-grote-afgeknotte gaper,Mytilus-tweekleppigen-mossel,Scrobicularia-tweekleppigen-platte slijkgaper
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,100,68,40,231,34,63,45,78,28,226,213,146,31,56,40,106,280,113,62,144,128,79,187,39,131,435,56,73,58,194,91,141,111,116,25
1992,261,55,52,182,95,30,219,46,65,883,1362,764,46,30,178,44,240,137,36,16,89,1467,92,34,26,109,56,208,72,241,73,192,491,110,15
1993,460,97,10,132,388,32,31,85,67,484,445,329,90,36,26,73,200,117,50,41,172,89,131,41,176,109,48,42,51,143,99,135,994,50,110
1994,122,27,53,64,61,154,38,73,16,325,1689,33,6,66,27,613,240,129,62,13,34,23,79,47,432,74,60,61,27,9,70,170,252,81,3
1995,400,177,102,215,65,39,50,32,30,958,547,6,42,163,50,620,200,241,57,116,19,37,195,35,110,83,75,58,50,1486,66,153,184,510,6
1996,199,56,67,22,25,35,94,65,21,563,181,51,9,114,56,159,240,80,93,26,27,73,72,95,130,374,52,55,9,132,357,252,173,82,1
1997,136,147,47,79,19,40,205,59,38,3148,109,192,88,65,4,46,2000,230,120,167,97,295,61,46,79,143,323,86,43,450,89,428,254,73,1
1998,55,69,6,104,27,13,234,44,44,747,47,3,64,71,20,98,500,144,51,296,185,874,109,39,331,152,95,149,53,137,76,253,279,54,5
1999,320,33,16,121,65,51,242,40,73,805,221,301,49,65,25,121,7960,46,74,98,60,695,64,73,552,174,89,83,162,183,91,276,492,340,5
2000,494,24,8,146,106,20,6,35,44,1554,238,32,47,50,13,140,13500,142,71,62,104,2985,377,21,386,409,143,105,21,176,292,381,271,42,2
2001,228,42,19,163,542,40,171,34,112,3847,247,69,149,55,14,201,21320,206,77,193,434,8510,35,5,85,48,99,58,71,276,73,334,376,52,29
2002,443,75,21,179,193,90,38,103,43,1184,926,235,102,68,9,1834,16120,184,87,18,156,5245,96,25,214,52,92,43,41,84,439,353,210,47,21
2003,267,145,12,186,117,35,25,82,43,305,2253,40,22,173,21,1598,10140,184,138,109,154,3069,184,25,138,191,151,49,38,38,247,275,281,40,5
2004,438,37,81,141,84,23,22,46,42,2297,1157,20,96,43,9,225,19780,124,84,118,42,5570,58,18,31,30,131,25,38,326,63,424,359,36,36
2005,810,123,42,209,68,48,167,69,65,1702,9887,288,77,93,10,155,14380,151,64,57,332,658,94,27,80,196,156,51,84,319,39,729,142,63,27
2006,1101,74,11,197,127,30,29,75,109,780,1432,28,88,53,5,695,11200,78,124,86,134,3715,31,19,207,96,299,69,330,106,31,421,206,62,15
2007,475,125,56,536,292,28,76,36,178,1094,170,451,215,227,12,228,35100,353,119,316,267,12545,61,17,134,339,219,105,98,143,12,438,358,211,22
2008,879,291,187,541,291,37,572,28,153,2000,1174,175,65,343,6,2568,9740,742,159,294,158,5379,66,20,102,96,169,87,113,444,7,282,1153,42,3
2009,412,168,69,363,127,15,302,48,74,294,855,214,110,218,6,517,4420,163,73,338,348,5510,103,63,79,91,379,123,219,194,171,439,1227,103,34
2010,385,163,66,304,159,36,117,41,70,214,228,172,195,372,4,404,7880,355,126,821,210,5390,91,10,153,883,382,156,237,397,85,406,217,26,15
2011,199,246,57,369,228,29,284,249,13,123,60,362,149,446,125,1216,3600,254,207,561,422,14371,126,12,599,2230,191,166,18,265,20,435,511,97,53
2012,583,211,20,286,183,30,74,76,4,63,21,197,89,228,50,2600,22420,326,163,453,456,18626,163,9,1269,1230,257,105,51,292,24,532,280,15,113
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
