Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bot,100,44,606,47,346,538,396,167,148,126,150,1007,871,468,274,51,151,2269,6641,3483,2962,1031,1592,2271,2050,4415
Dikkopje,100,634,238,137,600,72,62,199,232,81,117,135,133,54,288,142,145,193,47,124,146,195,99,250,146,215
Griet,100,28,35,275,559,34,269,32,371,170,65,118,407,39,281,1130,114,422,392,1599,1055,427,834,680,1355,231
Grote koornaarvis,100,46,62,50,44,369,25,40,20,39,14,119,75,183,353,54,11,20,32,28,32,46,35,44,37,62
Haring,100,57,104,54,214,45,38,79,68,60,127,142,175,285,96,52,147,113,204,156,86,81,175,143,52,158
Harnasmannetje,100,32,15,3,6,33,28,416,543,13,66,94,43,3,124,16,23,8,17,15,114,477,286,10,104,189
Kabeljauw,100,49,10,31,199,75,120,233,1204,382,84,268,635,64,68,377,815,939,414,66,11,45,52,14,47,7
Kleine zandspiering,100,273,13,17,185,9,225,131,8,5,106,111,136,12,1607,166,306,199,124,21,602,497,481,312,1073,315
Pitvis,100,77,75,70,61,94,48,43,51,39,15,49,65,37,30,14,77,23,4,3,16,17,14,14,15,15
Schar,100,443,172,31,239,775,46,17,354,98,55,768,260,37,82,3,4,356,13,323,9,6,6,1,14,5
Schol,100,18,46,10,145,43,83,39,86,21,38,89,54,186,97,80,168,172,260,108,157,118,71,257,109,78
Slakdolf,100,51,100,101,11,3,5,4,57,15,62,135,3,1,2,4,12,9,12,263,35,72,41,69,126,126
Steenbolk,100,16,2,14,10,23,22,2,22,14,22,7,18,20,21,4,3,24,12,1,3,0,1,1,8,1
Tong,100,49,21,34,19,41,55,58,26,26,87,163,41,44,21,109,47,207,184,115,39,36,49,13,25,28
Vijfdradige meun,100,3,14,16,12,8,2,10,3,1,2,8,6,1,10,15,1,34,24,30,1,2,9,2,21,13
Wijting,100,31,221,81,34,6,345,38,337,197,24,324,5,98,29,13,19,524,582,53,59,221,48,92,52,63
Zeedonderpad,100,29,423,469,108,423,397,1452,89,308,179,138,171,133,274,391,298,142,164,550,2111,2090,1280,1105,1656,640
Zeenaalden indet.,100,39,55,88,6,44,10,58,187,16,8,42,25,135,94,282,253,46,44,144,849,350,996,1294,1504,549
