Year,Bot,Dikkopje,Griet,Grote koornaarvis,Haring,Harnasmannetje,Kabeljauw,Kleine zandspiering,Pitvis,Schar,Schol,Slakdolf,Steenbolk,Tong,Vijfdradige meun,Wijting,Zeedonderpad,Zeenaalden indet.
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,44,634,28,46,57,32,49,273,77,443,18,51,16,49,3,31,29,39
1992,606,238,35,62,104,15,10,13,75,172,46,100,2,21,14,221,423,55
1993,47,137,275,50,54,3,31,17,70,31,10,101,14,34,16,81,469,88
1994,346,600,559,44,214,6,199,185,61,239,145,11,10,19,12,34,108,6
1995,538,72,34,369,45,33,75,9,94,775,43,3,23,41,8,6,423,44
1996,396,62,269,25,38,28,120,225,48,46,83,5,22,55,2,345,397,10
1997,167,199,32,40,79,416,233,131,43,17,39,4,2,58,10,38,1452,58
1998,148,232,371,20,68,543,1204,8,51,354,86,57,22,26,3,337,89,187
1999,126,81,170,39,60,13,382,5,39,98,21,15,14,26,1,197,308,16
2000,150,117,65,14,127,66,84,106,15,55,38,62,22,87,2,24,179,8
2001,1007,135,118,119,142,94,268,111,49,768,89,135,7,163,8,324,138,42
2002,871,133,407,75,175,43,635,136,65,260,54,3,18,41,6,5,171,25
2003,468,54,39,183,285,3,64,12,37,37,186,1,20,44,1,98,133,135
2004,274,288,281,353,96,124,68,1607,30,82,97,2,21,21,10,29,274,94
2005,51,142,1130,54,52,16,377,166,14,3,80,4,4,109,15,13,391,282
2006,151,145,114,11,147,23,815,306,77,4,168,12,3,47,1,19,298,253
2007,2269,193,422,20,113,8,939,199,23,356,172,9,24,207,34,524,142,46
2008,6641,47,392,32,204,17,414,124,4,13,260,12,12,184,24,582,164,44
2009,3483,124,1599,28,156,15,66,21,3,323,108,263,1,115,30,53,550,144
2010,2962,146,1055,32,86,114,11,602,16,9,157,35,3,39,1,59,2111,849
2011,1031,195,427,46,81,477,45,497,17,6,118,72,0,36,2,221,2090,350
2012,1592,99,834,35,175,286,52,481,14,6,71,41,1,49,9,48,1280,996
2013,2271,250,680,44,143,10,14,312,14,1,257,69,1,13,2,92,1105,1294
2014,2050,146,1355,37,52,104,47,1073,15,14,109,126,8,25,21,52,1656,1504
2015,4415,215,231,62,158,189,7,315,15,5,78,126,1,28,13,63,640,549
